1,Одноклеточные,,,,,,,,Растения,,,,,,,,Грибы,,,,,,,,Членистоногие,,,,,,,,Моллюски,,,,,,,,Черви,,,,,,,,Рыбы,,,,,,,,Рептилии,,,,,,,,Птицы,,,,,,,,Млекопитающие,,,,,,,
Индекс планеты,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь
OK4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8 1 1 0 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 -2 0 0 0 3,0 0 0 -2 -3 -1 -1,-,-,8 1 0 3 -3 -1 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 3 0 2 -4 -2 3,10 2 0 2 -1 -2 1,-,-,-,-,-,-,-,-,-,-,8 0 1 3 -3 -1 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 0 0 2 -2 -3 1,6 0 0 5 -4 0 3,-,-,-,-,-,-,-,-,-,-,8 1 1 3 -3 -1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 2 5 -4 0 0,10 3 0 4 -1 -2 0,-,-,-,-,-,-,-,-,-,-
VC7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LH8,0 0 1 3 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 0 0 -2,0 0 -1 1 0 0 -3,192,0 6 0 3 0 0 -1,0 0 0 3 -9 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 -10 0 -2,0 0 0 1 -13 0 -1,280,0 6 1 0 -9 0 0,-,-,-,-,-,-,-,-,7 6 1 0 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 5 -2 0 0 0 0,0 0 0 -2 -3 -1 -1,264,0 6 0 3 0 0 -1,7 6 0 3 -9 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 8 0 2 -10 -5 0,9 7 0 2 -7 -5 -2,280,0 6 1 0 -9 0 0,7 0 0 0 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 0 0 0 0 0 0,8 0 0 0 0 0 -2,304,7 0 0 0 -9 -4 0,7 0 1 3 -9 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,8 0 0 2 -8 -6 -2,5 0 0 5 -10 -3 0,360,7 0 0 0 -9 -4 0,7 6 1 0 -9 -4 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 7 2 0 -8 -3 -2,8 5 0 0 -10 -5 0,352,0 6 1 0 -9 0 0,7 6 1 3 -9 -4 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 5 2 5 -10 -3 0,9 8 0 4 -7 -5 0,376,0 6 0 3 0 0 -1,-,-,-,-,-,-,-,-
NB6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PK5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AQ4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -4 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 2 -1 0,0 0 0 -6 0 -1 0,-,-,2 -4 -1 0 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -5 -4 0 0 0 2,0 0 0 -2 -3 -1 -1,-,-,2 -4 0 -4 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -2 0 -5 2 -1 2,4 -3 0 -5 5 -1 0,-,-,-,-,-,-,-,-,-,-,2 0 -1 -4 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,3 0 -2 -5 4 -2 0,0 0 -2 -2 2 1 2,-,-,-,-,-,-,-,-,-,-,2 -4 -1 -4 3 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -5 0 -2 2 1 0,4 -2 -2 -3 5 -1 0,-,-,-,-,-,-,-,-,-,-
CT9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IU8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RF6,0 0 3 -3 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 2 -4 0 0 -2,0 0 1 -5 0 0 -3,-,-,0 0 0 -3 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -4 -1 0 -2,0 0 0 -5 -4 0 -1,-,-,-,-,-,-,-,-,-,-,-1 -2 3 0 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 -3 0 0 0 0 0,0 0 0 -2 -3 -1 -1,-,-,-1 -2 0 -3 0 -2 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 0 0 -4 -1 -3 0,1 -1 0 -4 2 -3 -2,-,-,-,-,-,-,-,-,-,-,-1 0 3 -3 0 -2 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 2 -4 1 -4 -2,-3 0 2 -1 -1 -1 0,-,-,-1 -2 3 0 0 -2 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-3 -1 4 0 1 -1 -2,0 -3 2 0 -1 -3 0,-,-,-1 -2 3 -3 0 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 -3 4 -1 -1 -1 0,1 0 2 -2 2 -3 0,-,-,-,-,-,-,-,-,-,-
WJ7,0 0 6 -2 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 5 -3 0 0 -4,0 0 4 -4 0 0 -5,192,0 0 0 -2 0 0 -3,0 0 0 -2 -5 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -6 0 -4,0 0 0 -4 -9 0 -3,280,0 0 6 0 -5 0 0,-,-,-,-,-,-,-,-,8 0 6 0 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 -1 3 0 0 0 -2,0 0 0 -2 -3 -1 -1,264,0 0 0 -2 0 0 -3,-,-,-,-,-,-,-,-,8 0 0 0 0 0 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 0 0 0 0 -2,9 0 0 0 0 0 -4,304,8 0 0 0 -5 -6 0,-,-,-,-,-,-,-,-,8 0 6 0 -5 -6 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 1 7 0 -4 -5 -4,9 -1 5 0 -6 -7 -2,352,0 0 6 0 -5 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AO9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IB8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MW1,0 0 -1 3 0 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -2 2 0 0 -7,0 0 -3 1 0 0 -8,216,0 3 0 3 0 0 -6,0 0 0 3 -8 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 2 -9 0 -7,0 0 0 1 -12 0 -6,315,0 3 -1 0 -8 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10 3 0 3 -8 -3 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 5 0 2 -9 -4 -5,12 4 0 2 -6 -4 -7,315,0 3 -1 0 -8 0 0,10 0 0 0 0 0 -6,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 0 0 0 0 0 -5,11 0 0 0 0 0 -7,342,10 0 0 0 -8 -3 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10 3 -1 3 -8 -3 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 2 0 5 -9 -2 0,12 5 -2 4 -6 -4 0,423,0 3 0 3 0 0 -6,-,-,-,-,-,-,-,-
LU2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PN1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QK9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EB1,0 0 -1 1 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -2 0 0 0 -1,0 0 -3 -1 0 0 -2,144,0 -2 0 1 0 0 0,0 0 0 1 3 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 2 0 -1,0 0 0 -1 -1 0 0,210,0 -2 -1 0 3 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 0 0 0 0 0 1,4 0 0 0 0 0 -1,228,3 0 0 0 3 -1 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 -2 -1 1 3 -1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 -1 0 2 2 -2 1,1 -4 -3 2 4 -3 -2,300,0 -2 -1 0 3 0 0
MQ6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3 -9 1 1 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-4 -8 2 2 2 -3 2,-5 -11 -1 2 4 -4 -1,-,-
ZS8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VU5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WP3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YF4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CY1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YB9,0 0 1 -1 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 0 0 -2,0 0 -1 -3 0 0 -3,96,0 0 0 -1 0 0 -1,0 0 0 -1 -5 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 -6 0 -2,0 0 0 -3 -9 0 -1,140,0 0 1 0 -5 0 0,-,-,-,-,-,-,-,-,0 0 1 0 0 0 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -1 -2 0 0 0 0,0 0 0 -2 -3 -1 -1,132,0 0 0 -1 0 0 -1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 1 -1 -5 -2 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 0 0 -2 -4 -4 -2,-2 0 0 1 -6 -1 0,180,0 0 0 0 -5 -2 0,0 0 1 0 -5 -2 -1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-2 1 2 0 -4 -1 -2,1 -1 0 0 -6 -3 0,176,0 0 1 0 -5 0 0,0 0 1 -1 -5 -2 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -1 2 1 -6 -1 0,2 2 0 0 -3 -3 0,188,0 0 0 -1 0 0 -1,-,-,-,-,-,-,-,-
DI0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SP6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JT4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KR0,0 0 -5 -5 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -6 -6 0 0 1,0 0 -7 -7 0 0 0,192,0 3 0 -5 0 0 2,0 0 0 -5 4 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 3 0 1,0 0 0 -7 0 0 2,280,0 3 -5 0 4 0 0,0 0 0 -5 4 1 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 3 0 1,0 0 0 -7 1 0 1,320,8 0 0 0 4 1 0,-,-,-,-,-,-,-,-,8 3 0 -5 4 1 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 5 0 -6 3 0 3,10 4 0 -6 6 0 1,280,0 3 -5 0 4 0 0,8 0 0 0 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,7 0 0 0 0 0 3,9 0 0 0 0 0 1,304,8 0 0 0 4 1 0,8 0 -5 -5 4 1 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 0 -6 -6 5 -1 1,6 0 -6 -3 3 2 3,360,8 0 0 0 4 1 0,8 3 -5 0 4 1 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 4 -4 0 5 2 1,9 2 -6 0 3 0 3,352,0 3 -5 0 4 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BN6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EK6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JI5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VX9,0 0 -2 -5 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -3 -6 0 0 1,0 0 -4 -7 0 0 0,120,0 -2 0 -5 0 0 2,0 0 0 -5 6 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 5 0 1,0 0 0 -7 2 0 2,175,0 -2 -2 0 6 0 0,0 0 0 -5 6 3 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 5 2 1,0 0 0 -7 3 2 1,200,7 0 0 0 6 3 0,-,-,-,-,-,-,-,-,7 -2 0 -5 6 3 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 0 0 -6 5 2 3,9 -1 0 -6 8 2 1,175,0 -2 -2 0 6 0 0,7 0 0 0 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 0 0 0 0 0 3,8 0 0 0 0 0 1,190,7 0 0 0 6 3 0,7 0 -2 -5 6 3 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,8 0 -3 -6 7 1 1,5 0 -3 -3 5 4 3,225,7 0 0 0 6 3 0,7 -2 -2 0 6 3 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,5 -1 -1 0 7 4 1,8 -3 -3 0 5 2 3,220,0 -2 -2 0 6 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GT9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KH6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IK5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5 2 4 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 1 1 0 0 0 1,0 0 0 -2 -3 -1 -1,264,0 2 0 3 0 0 0,5 2 0 3 -7 1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 4 0 2 -8 0 1,7 3 0 2 -5 0 -1,280,0 2 4 0 -7 0 0,-,-,-,-,-,-,-,-,5 0 4 3 -7 1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 0 3 2 -6 -1 -1,3 0 3 5 -8 2 1,360,5 0 0 0 -7 1 0,-,-,-,-,-,-,-,-,5 2 4 3 -7 1 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 1 5 5 -8 2 0,7 4 3 4 -5 0 0,376,0 2 0 3 0 0 0,-,-,-,-,-,-,-,-
JY3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KS4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CB9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -1 -1 -5 -2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -2 -2 -6 -3,0 0 0 -3 -4 -6 -3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 -9 4 -1 -1 -5 -2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,-1 -8 5 0 -2 -6 -1,-2 -11 2 0 0 -7 -4,-,-
PL8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZS4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UX0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BO7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BP8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
